"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,"Steven","King","SKING","515.123.4567","1987-06-17","AD_PRES",24000,"","",90
101,"Neena","Kochhar","NKOCHHAR","515.123.4568","1989-09-21","AD_VP",17000,"",100,90
102,"Lex","De Haan","LDEHAAN","515.123.4569","1993-01-13","AD_VP",17000,"",100,90
103,"Alexander","Hunold","AHUNOLD","590.423.4567","1990-01-03","IT_PROG",9000,"",102,60
104,"Bruce","Ernst","BERNST","590.423.4568","1991-05-21","IT_PROG",6000,"",103,60
107,"Diana","Lorentz","DLORENTZ","590.423.5567","1999-02-07","IT_PROG",4200,"",103,60
124,"Kevin","Mourgos","KMOURGOS","650.123.5234","1999-11-19","ST_MAN",5800,"",100,50
141,"Trenna","Rajs","TRAJS","650.121.8009","1995-10-17","ST_CLERK",3500,"",124,50
142,"Curtis","Davies","CDAVIES","650.121.2994","1997-01-29","ST_CLERK",3100,"",124,50
143,"Randall","Matos","RMATOS","650.121.2874","1998-03-15","ST_CLERK",2600,"",124,50
144,"Peter","Vargas","PVARGAS","650.121.2004","1998-07-09","ST_CLERK",2500,"",124,50
149,"Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018","2000-01-29","SA_MAN",10500,0.2,100,80
174,"Ellen","Abel","EABEL","011.44.1644.429267","1996-05-11","SA_REP",11000,0.3,149,80
176,"Jonathan","Taylor","JTAYLOR","011.44.1644.429265","1998-03-24","SA_REP",8600,0.2,149,80
178,"Kimberely","Grant","KGRANT","011.44.1644.429263","1999-05-24","SA_REP",7000,0.15,149,""
200,"Jennifer","Whalen","JWHALEN","515.123.4444","1987-09-17","AD_ASST",4400,"",101,10
201,"Michael","Hartstein","MHARTSTE","515.123.5555","1996-02-17","MK_MAN",13000,"",100,20
202,"Pat","Fay","PFAY","603.123.6666","1997-08-17","MK_REP",6000,"",201,20
205,"Shelley","Higgins","SHIGGINS","515.123.8080","1994-06-07","AC_MGR",12000,"",101,110
206,"William","Gietz","WGIETZ","515.123.8181","1994-06-07","AC_ACCOUNT",8300,"",205,110
